400 1194
226 227 66
51 52 15
51 54 24
51 53 7
104 106 24
104 107 15
104 105 16
184 186 21
184 187 99
184 185 66
140 141 41
73 75 81
140 143 45
73 76 64
140 142 52
73 74 3
355 357 8
355 358 61
183 185 15
183 186 89
183 184 38
355 356 13
348 351 27
233 234 38
233 235 8
233 236 77
348 350 9
261 264 54
261 263 8
261 262 83
326 328 99
326 329 58
41 44 53
41 43 100
348 349 56
41 42 31
133 135 63
111 112 61
133 136 1
111 113 67
111 114 34
133 134 15
326 327 97
190 191 40
361 362 18
190 193 28
361 364 70
190 192 90
361 363 49
317 318 42
317 319 17
157 160 83
189 191 62
189 190 45
205 207 36
205 208 43
189 192 41
157 159 33
46 47 39
205 206 9
46 49 6
46 48 19
91 93 79
237 238 69
91 94 64
91 92 23
237 239 27
157 158 19
374 375 48
374 376 52
374 377 84
342 343 75
342 345 4
269 272 4
342 344 6
269 271 48
269 270 55
141 144 45
141 143 47
237 240 80
141 142 83
173 174 45
173 176 99
173 175 47
24 25 34
24 26 22
24 27 14
317 320 61
389 391 13
301 302 97
389 390 47
301 303 51
301 304 35
58 59 78
12 13 61
221 222 41
299 301 80
299 302 44
12 15 51
117 118 30
12 14 25
299 300 84
221 224 36
221 223 73
254 256 75
262 263 96
358 360 59
254 257 29
262 265 8
58 60 93
262 264 30
117 119 11
254 255 6
358 361 29
58 61 87
293 294 61
293 296 93
117 120 30
293 295 45
34 36 59
34 37 54
34 35 23
278 281 35
373 374 9
278 280 32
278 279 59
101 104 75
101 103 52
101 102 52
358 359 49
389 392 68
102 105 40
102 104 78
158 161 73
268 269 23
236 238 11
318 319 12
236 239 7
236 237 32
102 103 54
7 8 30
7 9 30
341 344 11
341 343 68
341 342 27
268 270 26
268 271 50
142 143 6
81 84 77
174 177 45
81 83 62
174 176 53
81 82 100
174 175 55
158 159 24
375 376 75
318 321 57
318 320 6
375 377 65
375 378 98
158 160 16
206 207 25
206 208 11
263 266 81
206 209 70
263 265 76
118 119 43
253 255 94
263 264 32
298 300 66
253 256 77
298 301 60
252 253 42
253 254 100
357 360 88
44 45 98
44 46 49
44 47 84
93 95 34
93 96 58
302 304 19
93 94 17
302 305 39
142 145 99
142 144 17
302 303 52
175 177 6
175 178 93
357 359 21
357 358 70
292 295 6
292 294 62
22 25 49
118 120 74
22 24 98
22 23 6
118 121 9
71 72 39
292 293 78
71 74 31
71 73 81
5 6 1
5 7 52
280 282 97
5 8 35
280 283 58
88 89 57
280 281 44
8 11 89
159 160 35
159 161 13
159 162 18
239 241 71
88 91 78
239 240 17
88 90 6
239 242 36
207 210 40
8 10 42
207 209 61
115 116 44
115 117 96
359 361 69
115 118 12
207 208 37
359 360 34
359 362 56
66 68 75
66 69 33
300 302 62
66 67 87
300 303 18
252 254 44
252 255 52
220 221 71
300 301 94
220 223 83
220 222 21
48 50 28
296 298 5
296 299 4
387 389 91
387 388 72
295 296 58
295 298 60
295 297 73
48 51 47
171 174 81
251 253 27
171 173 82
251 254 66
48 49 63
251 252 42
171 172 45
387 390 88
223 224 23
143 146 75
143 145 41
143 144 58
267 270 68
223 226 25
187 190 100
223 225 8
267 268 39
187 189 71
187 188 5
26 27 74
26 29 55
26 28 92
267 269 49
56 59 64
56 58 20
371 372 57
56 57 57
238 241 16
188 189 1
238 240 62
371 373 22
3 4 64
371 374 94
3 5 82
14 16 79
3 6 26
14 17 27
14 15 29
316 319 25
316 318 70
316 317 26
373 375 91
373 376 6
188 190 95
188 191 26
78 79 53
36 39 83
36 38 96
36 37 98
238 239 30
343 346 57
343 345 32
343 344 78
78 80 68
116 119 42
78 81 46
116 118 77
116 117 1
172 175 74
172 174 96
172 173 19
344 345 2
344 347 100
388 390 82
344 346 68
388 391 41
388 389 93
294 297 47
294 296 7
222 223 52
294 295 61
222 225 20
222 224 77
250 252 92
266 267 19
250 253 69
266 269 7
266 268 35
315 318 58
68 70 81
315 317 66
250 251 89
100 103 99
100 102 70
68 71 99
100 101 14
68 69 72
372 373 65
372 374 53
372 375 90
144 145 92
315 316 69
144 147 58
209 212 86
144 146 46
209 210 18
209 211 95
52 54 27
145 148 97
249 252 15
52 55 89
145 147 50
29 32 84
145 146 93
249 250 59
1 2 38
52 53 84
249 251 10
1 3 84
1 4 21
29 30 67
137 140 51
29 31 65
305 306 20
305 307 28
305 308 15
330 331 60
290 293 49
330 332 32
290 292 37
330 333 66
74 77 17
290 291 55
74 76 75
74 75 91
153 154 42
137 139 99
137 138 35
386 389 78
386 388 17
386 387 49
96 97 93
96 98 21
274 276 33
96 99 42
274 277 76
378 380 100
128 129 40
210 211 70
86 88 22
210 212 48
86 89 17
210 213 33
273 274 63
273 275 73
86 87 27
273 276 86
40 43 72
40 42 7
40 41 52
265 268 11
369 372 43
265 267 67
265 266 68
369 370 25
369 371 47
378 379 91
201 202 7
201 204 52
314 317 15
201 203 99
314 316 32
314 315 88
154 156 54
282 284 74
128 130 92
154 157 44
282 285 83
128 131 24
154 155 86
282 283 90
64 65 49
64 67 52
64 66 14
399 400 92
393 394 75
378 381 46
393 395 3
393 396 19
99 101 25
99 102 6
99 100 34
258 259 4
291 292 92
291 294 43
291 293 15
39 42 22
146 147 40
306 308 31
306 309 21
146 149 41
146 148 59
306 307 4
39 41 55
39 40 62
331 333 46
331 334 20
385 388 31
331 332 23
385 387 94
385 386 19
17 19 83
136 137 11
17 18 70
136 138 75
136 139 58
152 154 28
152 155 9
258 260 78
258 261 6
152 153 63
17 20 59
54 56 86
54 57 32
274 275 28
27 30 16
54 55 61
368 371 23
368 370 91
264 265 87
379 382 14
264 267 57
379 380 45
264 266 3
379 381 28
275 276 72
275 277 76
275 278 79
313 314 40
313 316 25
313 315 24
27 29 96
27 28 40
257 260 38
49 51 81
153 155 16
398 400 3
49 50 37
76 77 53
153 156 28
76 78 75
76 79 65
170 173 58
170 172 11
170 171 14
368 369 29
49 52 85
129 130 81
281 283 18
129 131 87
281 284 97
257 259 79
257 258 17
202 203 72
202 204 29
202 205 68
98 99 27
129 132 37
281 282 63
247 248 38
147 150 57
247 249 1
10 11 19
10 12 69
10 13 26
340 343 47
340 342 86
135 136 17
98 100 50
384 387 94
98 101 96
384 386 53
135 137 64
135 138 12
127 130 82
397 400 46
32 33 81
32 35 98
32 34 31
163 164 32
147 149 32
147 148 89
163 166 39
163 165 72
247 250 72
332 333 80
332 334 93
332 335 31
127 128 51
127 129 70
50 51 86
312 315 17
312 314 90
50 53 47
312 313 51
50 52 87
376 377 52
376 378 27
376 379 25
119 121 64
119 120 91
119 122 67
284 287 28
284 286 92
284 285 15
160 162 30
160 163 13
276 277 55
72 74 31
72 75 75
160 161 81
276 278 52
72 73 51
276 279 90
212 213 97
384 385 21
303 304 65
303 305 57
303 306 64
212 214 21
212 215 32
297 300 68
203 205 60
340 341 85
203 206 37
203 204 44
256 257 91
94 97 42
256 258 96
94 96 59
256 259 24
94 95 10
134 135 27
204 205 51
134 136 5
204 206 100
134 137 98
204 207 40
84 85 16
156 158 80
156 159 94
84 87 50
84 86 36
156 157 57
42 45 86
148 150 35
42 44 97
42 43 28
148 151 59
248 249 67
126 127 98
126 129 41
126 128 100
62 63 48
62 64 3
62 65 69
20 22 85
311 314 24
20 23 32
97 100 3
311 313 42
20 21 62
148 149 59
162 164 83
311 312 72
162 165 89
248 250 40
248 251 65
162 163 66
161 162 100
161 163 55
161 164 64
333 334 67
377 379 92
377 378 37
333 335 12
333 336 73
211 213 91
377 380 5
211 214 33
211 212 46
283 285 9
283 286 13
283 284 15
304 306 26
304 307 16
255 257 8
30 31 71
255 258 34
30 32 50
30 33 5
255 256 90
277 278 99
277 279 93
19 22 12
277 280 31
383 386 67
383 385 85
383 384 2
155 157 15
155 158 48
19 20 35
19 21 28
304 305 25
155 156 99
382 385 88
382 384 39
35 38 67
35 37 56
35 36 9
382 383 41
80 83 11
309 312 25
80 82 100
80 81 55
125 126 59
197 198 84
229 230 57
229 231 44
125 128 2
229 232 63
309 310 28
125 127 15
309 311 76
149 152 49
149 151 65
149 150 57
390 391 90
390 393 16
390 392 41
349 352 29
13 15 52
310 312 88
13 16 94
310 313 29
349 350 58
13 14 15
310 311 19
349 351 13
230 232 27
230 233 97
285 286 6
285 288 29
285 287 9
398 399 98
69 71 70
69 70 71
182 183 77
182 184 48
182 185 53
69 72 77
108 109 46
8 9 5
334 335 36
23 24 8
23 25 18
334 337 19
23 26 3
334 336 56
110 112 81
110 113 53
110 111 23
245 248 83
325 327 14
245 247 92
325 328 28
325 326 33
245 246 57
165 166 57
165 168 49
165 167 75
45 46 39
108 111 13
45 48 80
45 47 58
108 110 98
198 199 1
124 127 94
228 231 25
124 126 84
124 125 5
228 230 25
214 215 20
214 217 44
214 216 54
381 384 83
391 392 57
381 383 8
381 382 80
391 394 11
391 393 98
70 71 24
164 165 25
70 73 50
70 72 12
196 197 54
196 199 12
196 198 94
7 10 12
59 61 65
59 60 58
92 94 52
92 95 38
92 93 7
397 398 35
397 399 41
59 62 76
228 229 57
107 108 46
231 232 36
107 109 29
231 233 52
231 234 93
33 35 98
33 36 10
33 34 10
286 289 4
6 7 90
82 83 84
230 231 49
286 288 68
6 8 72
82 84 48
286 287 81
6 9 8
82 85 5
324 326 53
324 327 55
335 338 44
335 337 83
181 183 65
335 336 51
181 184 32
181 182 50
324 325 88
164 167 37
164 166 91
11 12 76
11 14 11
11 13 78
197 199 8
60 63 34
60 62 97
60 61 81
246 249 74
246 248 94
246 247 2
270 271 68
107 110 94
213 216 100
213 215 89
213 214 64
270 273 31
270 272 72
215 218 29
77 78 31
215 217 45
77 79 77
215 216 49
123 124 58
123 126 60
123 125 79
167 168 85
392 393 7
307 308 94
307 309 88
392 395 86
167 169 98
392 394 16
167 170 32
380 381 10
77 80 94
380 382 14
380 383 94
352 354 38
352 355 96
352 353 20
55 58 51
320 321 96
55 57 10
55 56 2
320 323 8
320 322 25
396 398 15
396 399 2
364 367 47
364 366 29
396 397 54
364 365 8
307 310 22
195 198 96
195 197 28
195 196 59
151 152 34
259 260 43
259 261 74
339 342 7
151 154 27
259 262 95
339 341 12
151 153 91
339 340 26
323 325 8
323 326 42
287 290 77
323 324 20
4 5 53
37 38 69
4 6 29
37 39 62
4 7 86
37 40 88
367 368 42
243 244 21
367 369 81
243 246 65
243 245 97
287 289 55
287 288 30
180 182 58
336 337 87
180 183 54
336 339 13
336 338 31
395 396 52
180 181 73
15 18 98
271 274 93
15 17 47
271 273 64
15 16 34
271 272 73
139 142 98
139 141 84
139 140 21
351 352 36
9 12 41
367 370 64
9 10 77
9 11 64
308 311 71
308 310 43
67 70 33
216 219 24
216 218 2
67 69 37
351 353 98
351 354 47
216 217 36
67 68 79
25 26 61
138 141 18
338 339 1
25 28 58
25 27 39
395 397 48
395 398 57
138 140 25
338 341 37
47 50 76
338 340 100
138 139 79
47 49 51
321 322 83
321 324 7
47 48 99
89 92 63
321 323 77
89 91 61
194 195 2
365 366 33
89 90 12
194 197 47
365 368 24
194 196 63
365 367 47
308 309 95
109 112 58
366 369 8
366 368 75
2 3 92
2 4 44
109 110 82
2 5 44
109 111 38
322 323 28
322 324 52
322 325 8
150 151 33
366 367 76
150 153 32
150 152 9
200 203 81
200 202 99
79 81 31
200 201 21
79 80 86
244 247 17
79 82 91
244 246 85
272 273 100
244 245 38
337 340 17
272 274 4
272 275 86
57 58 68
57 59 93
337 339 56
288 289 49
122 123 16
288 290 3
394 396 66
394 397 62
394 395 69
337 338 86
122 125 78
122 124 18
288 291 32
90 91 18
90 93 43
166 169 33
90 92 52
166 168 31
57 60 77
166 167 78
350 352 3
350 353 16
350 351 32
1 400
