500 1494
229 231 34
125 128 26
229 232 52
309 310 32
125 127 34
309 311 44
149 152 88
149 151 96
486 489 82
149 150 90
486 488 77
486 487 44
390 391 34
390 393 85
390 392 16
349 352 18
429 430 70
429 431 66
429 432 94
13 15 2
310 312 77
13 16 10
310 313 24
470 471 59
349 350 47
13 14 32
310 311 64
349 351 36
470 472 43
470 473 47
230 232 86
230 233 64
285 286 55
285 288 88
285 287 30
414 415 3
398 399 66
69 71 76
69 70 15
182 183 15
182 184 44
182 185 2
69 72 84
108 109 73
8 9 89
334 335 1
23 24 98
23 25 13
334 337 26
23 26 99
334 336 77
414 417 46
414 416 57
110 112 58
110 113 13
110 111 34
245 248 66
325 327 7
245 247 23
325 328 15
325 326 56
245 246 51
165 166 47
165 168 35
165 167 86
45 46 39
108 111 87
45 48 13
45 47 99
108 110 33
198 199 50
124 127 4
228 231 52
124 126 69
124 125 58
431 432 97
485 488 10
228 230 89
485 487 17
214 215 79
431 434 36
431 433 21
214 217 50
214 216 68
485 486 54
381 384 60
391 392 66
381 383 89
381 382 97
391 394 89
391 393 75
70 71 22
164 165 23
70 73 27
70 72 60
196 197 85
196 199 21
196 198 62
413 416 90
7 10 87
413 415 77
445 446 63
59 61 96
413 414 65
59 60 97
445 447 9
445 448 6
92 94 93
92 95 86
92 93 89
397 398 48
397 399 11
59 62 41
228 229 54
107 108 7
231 232 64
107 109 35
231 233 14
231 234 54
33 35 94
33 36 80
446 447 51
446 448 31
33 34 50
446 449 83
286 289 41
6 7 61
82 83 14
230 231 66
286 288 26
6 8 2
82 84 30
286 287 90
6 9 66
82 85 84
324 326 77
324 327 77
428 430 64
335 338 4
335 337 44
181 183 53
335 336 98
181 184 47
428 431 38
181 182 22
324 325 40
164 167 59
164 166 50
11 12 9
11 14 88
11 13 100
197 199 44
60 63 73
60 62 36
60 61 37
428 429 10
246 249 7
246 248 46
246 247 26
270 271 67
107 110 74
213 216 83
213 215 7
213 214 37
430 432 48
430 433 56
270 273 100
270 272 22
430 431 1
215 218 23
77 78 14
215 217 85
77 79 43
215 216 59
123 124 56
123 126 79
123 125 87
167 168 92
392 393 34
307 308 35
307 309 57
392 395 38
167 169 65
392 394 44
167 170 20
472 473 41
380 381 58
488 491 25
77 80 8
380 382 28
380 383 44
352 354 60
352 355 87
352 353 75
55 58 82
320 321 28
55 57 65
55 56 40
444 445 34
320 323 35
444 446 25
320 322 69
444 447 27
396 398 64
488 490 59
396 399 73
400 401 32
364 367 29
400 402 87
364 366 70
396 397 99
400 403 15
364 365 83
307 310 48
195 198 63
195 197 31
195 196 52
151 152 25
259 260 75
259 261 68
339 342 76
151 154 85
259 262 10
339 341 18
488 489 24
151 153 83
339 340 72
323 325 9
323 326 84
287 290 23
323 324 58
4 5 84
37 38 9
4 6 47
37 39 27
4 7 40
37 40 70
367 368 35
243 244 12
367 369 63
243 246 57
243 245 87
287 289 8
287 288 2
180 182 3
336 337 100
180 183 97
336 339 2
336 338 4
395 396 45
180 181 23
15 18 13
271 274 42
15 17 24
271 273 43
15 16 50
271 272 75
139 142 86
139 141 5
139 140 58
351 352 16
9 12 38
367 370 22
416 417 67
9 10 1
416 419 65
9 11 82
416 418 96
473 474 41
473 475 97
473 476 85
308 311 72
308 310 74
67 70 37
216 219 70
216 218 68
67 69 41
351 353 69
351 354 22
216 217 87
67 68 64
443 445 15
443 446 34
25 26 12
138 141 66
338 339 89
443 444 33
25 28 42
25 27 32
395 397 52
395 398 24
471 472 34
471 473 9
138 140 5
471 474 84
338 341 39
487 489 43
47 50 12
338 340 63
487 488 82
138 139 76
47 49 54
321 322 7
321 324 16
47 48 56
89 92 44
321 323 53
487 490 18
89 91 65
194 195 41
365 366 36
89 90 32
194 197 39
365 368 87
194 196 26
365 367 4
308 309 42
109 112 7
459 461 6
459 460 75
366 369 39
366 368 58
2 3 50
2 4 16
109 110 38
2 5 12
109 111 58
322 323 67
322 324 8
415 418 7
322 325 82
415 417 81
415 416 97
150 151 59
366 367 26
150 153 11
150 152 70
459 462 45
200 203 2
200 202 94
79 81 39
200 201 54
79 80 89
244 247 16
79 82 55
244 246 64
272 273 97
244 245 40
337 340 41
272 274 64
272 275 23
57 58 76
57 59 70
337 339 25
288 289 65
472 474 59
472 475 28
122 123 16
288 290 91
394 396 1
394 397 57
394 395 71
337 338 58
122 125 3
122 124 39
288 291 57
90 91 44
90 93 35
166 169 73
90 92 87
166 168 88
57 60 88
166 167 7
350 352 70
350 353 23
350 351 88
1 500
