200 594
142 145 30
142 144 44
164 167 97
164 166 3
175 177 27
175 178 64
11 12 79
11 14 69
11 13 22
197 199 24
60 63 41
60 62 18
60 61 59
22 25 12
118 120 92
22 24 94
22 23 56
107 110 1
118 121 50
71 72 59
71 74 28
71 73 71
77 78 49
77 79 33
123 124 42
123 126 23
123 125 37
167 168 38
5 6 92
167 169 93
5 7 50
5 8 42
88 89 37
8 11 84
167 170 58
159 160 76
159 161 79
159 162 77
88 91 52
77 80 72
88 90 20
8 10 45
55 58 28
55 57 55
55 56 51
115 116 37
115 117 51
115 118 73
66 68 55
66 69 13
195 198 90
66 67 26
195 197 11
195 196 89
151 152 6
151 154 57
151 153 97
48 50 67
4 5 43
37 38 72
4 6 70
37 39 82
4 7 90
48 51 89
37 40 100
171 174 4
171 173 87
48 49 50
171 172 94
180 182 30
180 183 73
180 181 98
15 18 20
143 146 54
15 17 58
143 145 74
15 16 95
143 144 26
139 142 85
139 141 18
139 140 37
187 190 77
9 12 55
187 189 2
187 188 40
26 27 57
26 29 8
26 28 5
9 10 28
9 11 43
56 59 74
56 58 37
56 57 87
188 189 38
3 4 92
3 5 80
14 16 71
3 6 68
14 17 4
67 70 77
14 15 75
67 69 36
67 68 1
25 26 9
138 141 63
25 28 44
25 27 63
188 190 43
138 140 23
188 191 62
78 79 33
36 39 15
36 38 72
36 37 96
47 50 61
138 139 84
47 49 23
78 80 36
47 48 64
89 92 73
89 91 65
116 119 37
194 195 22
78 81 58
89 90 27
116 118 66
116 117 9
194 197 48
194 196 90
109 112 36
172 175 19
172 174 95
172 173 56
2 3 92
2 4 17
109 110 61
2 5 81
109 111 86
150 151 78
150 153 26
150 152 98
79 81 82
79 80 19
79 82 16
57 58 34
68 70 49
57 59 70
100 103 32
100 102 55
68 71 88
100 101 16
122 123 95
68 69 66
122 125 35
122 124 4
90 91 18
90 93 71
144 145 90
166 169 60
90 92 25
166 168 49
57 60 9
144 147 70
166 167 50
144 146 40
1 200
