300 894
250 251 84
100 103 40
100 102 68
68 71 39
100 101 62
68 69 29
144 145 72
144 147 78
209 212 100
144 146 28
209 210 27
209 211 85
52 54 81
145 148 62
249 252 55
52 55 18
145 147 97
29 32 37
145 146 6
249 250 74
1 2 33
52 53 41
249 251 34
1 3 34
1 4 68
29 30 54
137 140 61
29 31 10
290 293 73
290 292 76
74 77 33
290 291 35
74 76 89
74 75 85
153 154 71
137 139 32
137 138 59
96 97 14
96 98 5
274 276 89
96 99 96
274 277 35
128 129 8
210 211 79
86 88 12
210 212 19
86 89 29
210 213 41
273 274 84
273 275 96
86 87 39
273 276 1
40 43 61
40 42 89
40 41 70
265 268 92
265 267 55
265 266 65
201 202 95
201 204 80
201 203 74
154 156 70
282 284 3
128 130 51
154 157 50
282 285 43
128 131 90
154 155 38
282 283 62
64 65 22
64 67 60
64 66 21
99 101 46
99 102 82
99 100 5
258 259 28
291 292 15
291 294 15
291 293 48
39 42 67
146 147 1
146 149 91
146 148 39
39 41 59
39 40 96
17 19 77
136 137 29
17 18 69
136 138 88
136 139 7
152 154 1
152 155 82
258 260 11
258 261 27
152 153 90
17 20 74
54 56 40
54 57 6
274 275 12
27 30 45
54 55 35
264 265 51
264 267 23
264 266 97
275 276 93
275 277 90
275 278 12
27 29 2
27 28 40
257 260 15
49 51 98
153 155 26
49 50 17
76 77 99
153 156 10
76 78 13
76 79 87
170 173 10
170 172 3
170 171 29
49 52 61
129 130 14
281 283 29
129 131 94
281 284 52
257 259 95
257 258 77
202 203 93
202 204 41
202 205 57
98 99 4
129 132 93
281 282 8
247 248 61
147 150 68
247 249 10
10 11 70
10 12 10
10 13 67
135 136 93
98 100 86
98 101 36
135 137 82
135 138 8
127 130 94
32 33 99
32 35 17
32 34 83
163 164 82
147 149 22
147 148 20
163 166 98
163 165 82
247 250 24
127 128 38
127 129 40
50 51 81
50 53 14
50 52 2
119 121 64
119 120 99
119 122 23
284 287 48
284 286 10
284 285 22
160 162 42
160 163 35
276 277 35
72 74 37
72 75 3
160 161 74
276 278 93
72 73 23
276 279 51
212 213 74
212 214 12
212 215 2
297 300 83
203 205 76
203 206 55
203 204 32
256 257 7
94 97 79
256 258 37
94 96 75
256 259 26
94 95 81
134 135 31
204 205 89
134 136 69
204 206 70
134 137 18
204 207 96
84 85 49
156 158 2
156 159 95
84 87 94
84 86 4
156 157 26
42 45 69
148 150 37
42 44 52
42 43 35
148 151 97
248 249 36
126 127 10
126 129 100
126 128 11
62 63 61
62 64 99
62 65 79
20 22 10
20 23 18
97 100 72
20 21 18
148 149 43
162 164 96
162 165 27
248 250 5
248 251 28
162 163 78
161 162 85
161 163 2
161 164 93
211 213 52
211 214 99
211 212 78
283 285 4
283 286 9
283 284 99
255 257 33
30 31 92
255 258 73
30 32 92
30 33 21
255 256 29
277 278 6
277 279 86
19 22 41
277 280 44
155 157 98
155 158 10
19 20 39
19 21 87
155 156 6
35 38 20
35 37 93
35 36 74
80 83 75
80 82 55
80 81 75
125 126 33
197 198 1
229 230 27
229 231 98
125 128 85
229 232 50
125 127 84
149 152 58
149 151 78
149 150 33
13 15 55
13 16 80
13 14 52
230 232 21
230 233 68
285 286 58
285 288 98
285 287 96
69 71 49
69 70 67
182 183 36
182 184 40
182 185 88
69 72 61
108 109 67
8 9 23
23 24 50
23 25 93
23 26 98
110 112 91
110 113 67
110 111 30
245 248 3
245 247 17
245 246 46
165 166 35
165 168 34
165 167 88
45 46 14
108 111 18
45 48 90
45 47 56
108 110 51
198 199 6
124 127 80
228 231 59
124 126 16
124 125 40
228 230 73
214 215 82
214 217 67
214 216 87
70 71 45
164 165 22
70 73 23
70 72 35
196 197 78
196 199 64
196 198 89
7 10 77
59 61 69
59 60 60
92 94 6
92 95 59
92 93 96
59 62 80
228 229 33
107 108 78
231 232 30
107 109 50
231 233 71
231 234 93
33 35 11
33 36 59
33 34 1
286 289 54
6 7 27
82 83 24
230 231 73
286 288 75
6 8 86
82 84 99
286 287 27
6 9 34
82 85 22
181 183 32
181 184 66
181 182 62
164 167 36
164 166 21
11 12 47
11 14 33
11 13 24
197 199 58
60 63 63
60 62 1
60 61 28
246 249 46
246 248 5
246 247 27
270 271 39
107 110 14
213 216 13
213 215 60
213 214 11
270 273 6
270 272 77
215 218 5
77 78 25
215 217 92
77 79 10
215 216 42
123 124 64
123 126 9
123 125 80
167 168 68
167 169 14
167 170 66
77 80 88
55 58 95
55 57 99
55 56 30
195 198 93
195 197 66
195 196 10
151 152 65
259 260 74
259 261 75
151 154 71
259 262 9
151 153 20
287 290 84
4 5 64
37 38 70
4 6 98
37 39 42
4 7 83
37 40 56
243 244 51
243 246 17
243 245 73
287 289 88
287 288 84
180 182 87
180 183 75
180 181 2
15 18 22
271 274 6
15 17 75
271 273 21
15 16 73
271 272 11
139 142 49
139 141 59
139 140 65
9 12 11
9 10 35
9 11 34
67 70 42
216 219 29
216 218 61
67 69 62
216 217 7
67 68 45
25 26 24
138 141 74
25 28 39
25 27 45
138 140 81
47 50 7
138 139 56
47 49 8
47 48 52
89 92 14
89 91 29
194 195 31
89 90 12
194 197 19
194 196 83
109 112 79
2 3 14
2 4 7
109 110 29
2 5 10
109 111 11
150 151 5
150 153 93
150 152 67
200 203 38
200 202 82
79 81 80
200 201 21
79 80 46
244 247 79
79 82 31
244 246 20
272 273 59
244 245 25
272 274 75
272 275 16
57 58 100
57 59 63
288 289 84
122 123 48
288 290 63
122 125 11
122 124 56
288 291 16
90 91 91
90 93 96
166 169 58
90 92 8
166 168 62
57 60 85
166 167 30
1 300
